,KL Uniform,KL Background,RBO,Word Embedding Pairwise Similarity,Word Embedding Centroid Similarity,Pairwise Jacckard Similarity,UMass Coherence,CV Coherence,CUCI Coherence,CNPMI Coherence,WE Pairwise Coherence,WE Centroid Coherence,Topic Diversity,Inverted RBO,Log Odds Ratio,Word Embeddings Inverted RBO,Word Embeddings Inverted RBO Centroid
NMF,0.47382580093830046,0.6911779788893831,0.03380708496214291,0.1624927483525244,0.5861055450272967,0.03742690058479532,-2.355675279960735,0.5118810019134099,0.2738276339342789,0.04062421443271015,0.005661582416958279,0.9219459165940223,0.86,0.9661929150378571,0.7345975115691874,0.4088674557923031,0.8357843984059214
LDA,0.1408188385888251,0.6875585080866761,0.03990440880000001,0.1515787605626748,0.5598191897582875,0.03689752704200588,-3.3531367685350943,0.4596020673390958,-0.963440039490244,-0.02071081072456513,0.007506167093912761,0.9010956261880875,0.78,0.9600955912,0.2641364621221818,0.41291606856892304,0.8372172260228408
